"Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"10","20","1e-05","1e-08","0.61171","0.49417","1.0","0.66146","0.56261","0.54639","1.0","0.70667","0.692584","4.266639999999819e-07"
"15","10","0.01","0.001","0.5","0.51917","1.0","0.68349","0.5","0.41237","1.0","0.58394","0.6938575","9.741875000000336e-08"
"15","10","0.1","0.001","0.5","0.52833","1.0","0.69138","0.5","0.49485","1.0","0.66207","0.69987","3.650739999999971e-06"
"15","10","0.001","0.001","0.57018","0.59667","1.0","0.74739","0.63946","0.49485","1.0","0.66207","0.693258","6.735999999999841e-09"
"15","10","0.01","0.001","0.5","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.6938829999999999","6.960100000000269e-08"
"15","10","0.0001","0.001","0.52829","0.49667","1.0","0.6637","0.59173","0.57333","0.7963","0.66667","0.6931910000000001","1.2908999999998875e-08"
"15","10","1e-05","0.001","0.55066","0.61268","0.86752","0.71816","0.50085","0.52273","0.44231","0.47917","0.6927445000000001","6.858547499999829e-07"
"15","10","0.001","0.001","0.56668","0.0","0.0","0.0","0.61453","0.0","0.0","0.0","0.693287","5.081000000001991e-09"
"15","10","0.1","0.0001","0.54241","0.53833","1.0","0.69989","0.61628","0.4433","1.0","0.61429","0.7007110000000001","1.1443138999999996e-05"
"15","10","0.0001","0.001","0.54156","0.58263","0.32964","0.42105","0.59354","0.64865","0.4898","0.55814","0.6932294999999999","4.434749999999035e-09"
