"Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"5","5","0.01","0.001","0.77452","0.71195","0.90244","0.79596","0.75457","0.75","0.76596","0.75789","0.5609975","0.00036355386874999975"
"5","5","0.001","0.001","0.78005","0.73105","0.90469","0.80865","0.79143","0.77451","0.81443","0.79397","0.5416595000000001","0.0007702070147500001"
"5","5","0.0001","0.001","0.76557","0.69036","0.91685","0.78764","0.77401","0.59777","1.0","0.74825","0.5727024999999999","0.0006317477687499998"
"5","5","1e-05","0.001","0.73444","0.72416","0.85704","0.78502","0.76371","0.72656","0.88571","0.79828","0.6087985","0.000940230482750001"
"5","5","0.1","0.0001","0.72099","0.5689","1.0","0.72522","0.75169","0.51397","1.0","0.67897","0.599256","0.00011193446400000007"
"5","5","0.01","0.0001","0.8255","0.79397","0.91023","0.84813","0.80511","0.8","0.69388","0.74317","0.48644499999999996","0.000496325635"
"5","5","0.001","0.0001","0.81524","0.80529","0.86225","0.83279","0.80651","0.78351","0.80851","0.79581","0.48144300000000007","0.0006436638610000003"
"5","5","0.0001","0.0001","0.77982","0.73885","0.86957","0.7989","0.78475","0.78095","0.79612","0.78846","0.5616334999999999","0.0007191888927499998"
"5","5","1e-05","0.0001","0.72671","0.0","0.0","0.0","0.7437","0.0","0.0","0.0","0.708725","0.005627392624999998"
"5","5","0.1","1e-05","0.70797","0.54235","1.0","0.70328","0.74806","0.50838","1.0","0.67407","0.601595","0.00010247601500000026"
"5","5","0.01","1e-05","0.84704","0.81983","0.86387","0.84128","0.7933","0.74766","0.83333","0.78818","0.4644805000000001","0.00017310662475000007"
"5","5","0.001","1e-05","0.84737","0.83686","0.86766","0.85198","0.82356","0.78788","0.82105","0.80412","0.46777500000000016","0.0001221057250000001"
"5","5","0.0001","1e-05","0.76612","0.70536","0.84816","0.77019","0.78195","0.74","0.77895","0.75897","0.5817970000000001","6.258951100000001e-05"
"5","5","1e-05","1e-05","0.74969","0.52255","1.0","0.68641","0.77609","0.5419","1.0","0.7029","0.6598885","0.005001383832750001"
"5","5","0.1","1e-06","0.69208","0.58028","1.0","0.7344","0.68827","0.60894","1.0","0.75694","0.600547","0.00018640595100000019"
"5","5","0.01","1e-06","0.82403","0.78162","0.91576","0.84339","0.7892","0.80342","0.85455","0.82819","0.46282249999999997","0.0020523310087499995"
"5","5","0.001","1e-06","0.8543","0.79328","0.91573","0.85012","0.82691","0.82418","0.76531","0.79365","0.449431","1.2410298999999977e-05"
"5","5","0.0001","1e-06","0.79551","0.665","0.89655","0.76361","0.7964","0.78431","0.7619","0.77295","0.5579914999999999","2.9436692749999967e-05"
"5","5","1e-05","1e-06","0.73388","0.69451","0.89668","0.78275","0.76053","0.0","0.0","0.0","0.6316035","0.00115341023275"
"5","5","0.1","1e-07","0.73925","0.54542","0.99845","0.70546","0.78423","0.58757","1.0","0.74021","0.602868","0.000113557326"
"5","5","0.01","1e-07","0.83203","0.78177","0.90038","0.83689","0.79704","0.81553","0.8","0.80769","0.48548850000000005","0.00022475866274999966"
"5","5","0.001","1e-07","0.87632","0.82357","0.90426","0.86203","0.78165","0.77895","0.82222","0.8","0.42390100000000003","1.5209618999999993e-05"
"5","5","0.0001","1e-07","0.76504","0.70061","0.90134","0.7884","0.78238","0.74627","0.89286","0.81301","0.5617439999999998","0.00034525089400000013"
"5","5","1e-05","1e-07","0.73104","0.73742","0.84269","0.78655","0.76998","0.775","0.68889","0.72941","0.624598","0.002010624886"
"5","5","0.1","1e-08","0.73974","0.53772","1.0","0.69937","0.77033","0.55307","1.0","0.71223","0.6003445000000001","0.00013041939475000002"
